Unnamed: 0,question,Intent
943,Aku sedang menghadapi kelelahan dan sakit kepala yang bikin aku gugup dan cemas.,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik
944,Aku merasa terancam karena aku mengalami gejala fisik yang semakin parah setiap hari.,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik
945,"Aku sangat marah karena ada ujian tulis nanti malam, tapi aku lagi sakit kepala ini terus muncul, bikin aku tidak sabar sih.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
946,"Aku lagi nggak bisa fokus kuliah karena sakit perut ini, jadi aku jengkel banget sama diri sendiri.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
947,"Aku lagi pusing karena nggak bisa makan nasi goreng favoritku lagi, terus aku juga mengeluh sakit gigi, apa ini kutuk.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
948,"Aku marah banget sama dosen yang nggak mau mengerti aku, tapi aku juga lagi merasa kelelahan terus.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
949,"Aku jengkel karena aku harus ke klinik lagi hari ini untuk cek darah, tapi aku juga lagi nggak bisa makan apa-apa.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
950,"Aku lagi nggak bisa tidur karena sakit sendi ini, jadi aku kesal banget sama hari ini.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
951,"Aku lagi nggak bisa fokus kuliah karena ada banyak pekerjaan rumah, tapi aku juga lagi pusing karena makan malam tadi mual banget.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
952,"Aku marah karena aku harus kuliah hari ini tapi aku juga lagi nggak bisa makan apa-apa, jadi aku jengkel banget.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
953,"Aku lagi nggak bisa makan nasi goreng favoritku lagi karena aku lupa masukkan ke esok pagi, jadi aku sakit perut ini terus.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
954,"Aku lagi nggak bisa kuliah hari ini karena aku sakit perut ini terus, jadi aku jengkel banget.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
955,"Aku marah banget sama teman yang nggak mau membantu aku, tapi aku juga lagi nggak bisa makan apa-apa.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
956,"Aku jengkel karena aku harus ke klinik lagi hari ini, tapi aku juga lagi pusing karena ada banyak kuliah di hari ini, apa ini kutuk.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
957,"Aku lagi nggak bisa tidur karena ada banyak tugas yang harus dikerjakan, tapi aku juga lagi sakit kepala ini terus muncul.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
958,"Aku lagi nggak bisa kuliah hari ini karena aku pusing banget karena makan malam tadi, apa ini kutuk.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
959,"Aku jengkel banget sama dosen yang nggak mau mengerti aku, tapi aku juga lagi nggak bisa makan apa-apa.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
960,"Aku lagi nggak bisa tidur karena sakit perut ini terus, jadi aku kesal banget sama hari ini.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
961,"Aku lagi nggak bisa fokus kuliah karena ada banyak pekerjaan rumah, tapi aku juga lagi sakit kepala ini terus muncul.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
962,"Aku marah karena aku harus ke klinik lagi hari ini, tapi aku juga lagi pusing karena ada banyak kuliah di hari ini.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
963,"Aku lagi nggak bisa kuliah hari ini karena aku sakit otot ini terus, jadi aku tidak sabar sih.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
964,"Aku lagi nggak bisa tidur karena ada banyak tugas yang harus dikerjakan, tapi aku juga lagi pusing banget karena makan malam tadi.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
965,"Aku marah banget sama dosen yang nggak mau mengerti aku, tapi aku juga lagi nggak bisa makan apa-apa, apa ini kutuk.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
966,"Aku lagi nggak bisa makan nasi goreng favoritku lagi, jadi aku sakit perut ini terus dan jengkel banget sama hari ini.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
967,"Aku lagi nggak bisa fokus kuliah karena ada banyak pekerjaan rumah, tapi aku juga lagi nggak bisa makan apa-apa.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
968,"Aku marah banget sama teman yang nggak mau membantu aku, tapi aku juga lagi sakit kepala ini terus muncul.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
969,"Aku lagi nggak bisa tidur karena sakit otot ini terus, jadi aku tidak sabar sih sama hari ini.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
970,"Aku lagi nggak bisa kuliah hari ini karena aku pusing banget karena ada banyak kuliah di hari ini, apa ini kutuk.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
971,"Aku lagi nggak bisa kuliah hari ini karena aku sakit perut ini terus, jadi aku tidak sabar sih dengan hari ini.",Menyatakan Perasaan Marah dan Frustasi; Mengisyaratkan Gejala Fisik
972,"Aku jadi benci sama temanku yang selalu ngajak aku ke cafe terus, tapi aku punya sakit kepala karena minumannya yang terlalu manis, sih.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
973,"Aku enggak mau nonton film bareng dengan temen-temanku yang selalu ngomongin hal-hal yang bikin aku jijik, aku merasa pusing karena aku baru saja makan makanan yang tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
974,"Aku jadi muak sama dosen yang selalu ngajak aku ngobrol saat aku lagi sibuk, tapi aku merasa sedikit sesak napas karena aku lupa membawa pil kecil.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
975,"Aku enggak mau pergi ke tempat hiburan itu karena aku merasa tidak nyaman dengan suasana yang gelap, aku merasa gemetar karena kupingku sedang sakit.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
976,"Aku benci sama teman yang selalu meminta pinjaman uang, tapi aku merasa lelah karena aku baru saja bangun pagi.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
977,"Aku enggak suka sama keadaan di rumah yang kotor, tapi aku merasa sakit perut karena makanan yang aku makan tadi malam tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
978,"Aku jadi jijik sama teman yang selalu ngomongin tentang kebencian, aku merasa kelelahan karena aku baru saja melakukan tugas yang sulit.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
979,"Aku enggak mau pergi ke sana karena aku merasa tidak nyaman dengan keadaan yang berdebu, aku merasa mual karena aku baru saja makan makanan yang tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
980,"Aku benci sama teman yang selalu memojokku, tapi aku merasa pusing karena aku tidak tidur malam ini.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
981,"Aku enggak suka sama suasana yang terlalu panas, tapi aku merasa sakit perut karena aku makan makanan yang tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
982,"Aku muak sama teman yang selalu menagih uang, tapi aku merasa sedikit gemetar karena aku tidak nyaman dengan suasana.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
983,"Aku enggak mau pergi ke tempat itu karena aku merasa tidak nyaman dengan keadaan yang gelap, aku merasa kelelahan karena aku baru saja melakukan tugas yang sulit.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
984,"Aku benci sama teman yang selalu memojokku, tapi aku merasa mual karena aku makan makanan yang tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
985,"Aku enggak suka sama suasana yang terlalu berisik, tapi aku merasa sakit perut karena aku tidak enak badan.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
986,"Aku jadi jijik sama teman yang selalu ngomongin tentang kebencian, aku merasa sedikit sesak napas karena aku tidak terbiasa berolahraga.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
987,"Aku benci sama teman yang selalu meminta pinjaman uang, tapi aku merasa kelelahan karena aku baru saja melakukan tugas yang sulit.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
988,"Aku enggak suka sama suasana yang terlalu gelap, tapi aku merasa mual karena aku makan makanan yang tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
989,"Aku enggak mau pergi ke tempat itu karena aku merasa tidak nyaman dengan keadaan yang berdebu, aku merasa sakit perut karena aku tidak enak badan.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
990,"Aku benci sama dosen yang selalu ngajak aku ngobrol saat aku lagi sibuk, tapi aku merasa kelelahan karena aku baru saja melakukan tugas yang sulit.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
991,"Aku enggak suka sama suasana yang terlalu panas, tapi aku merasa pusing karena aku tidak terbiasa dengan cuaca panas.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
992,"Aku enggak mau pergi ke tempat itu karena aku merasa tidak nyaman dengan keadaan yang berdebu, aku merasa pusing karena aku tidak terbiasa dengan cuaca panas.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
993,"Aku benci sama dosen yang selalu ngajak aku ngobrol saat aku lagi sibuk, tapi aku merasa mual karena aku makan makanan yang tidak enak.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
994,"Aku enggak suka sama suasana yang terlalu panas, tapi aku merasa sedikit sesak napas karena aku baru saja berolahraga.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik
995,"Aku bingung banget, kenapa dia harus mengatakan itu, aku jijik dengan kata-katanya sih, tapi aku rasa syukur kalau aku bisa mengerti alasan mereka",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
996,"Aku tidak percaya dia bisa melakukannya, aku jauh dari dia, tapi aku merasa lega karena aku tidak perlu melihatnya lagi",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
997,"Kata-katanya sangat benci, aku benci pula dengan sikapnya, tapi aku merasa syukur bahwa aku bisa menemukan kebenaran",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
998,"Aku tak percaya aku bisa berhasil, aku benci dengan rasa was-wasnya, tapi aku berterima kasih karena aku bisa mengalahkan dirinya",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
999,"Lalu dia mengatakan hal yang sangat mengejutkan, aku jijik dengan perilakunya, tapi aku merasa syukur bahwa aku tidak terjebak dalam situasi yang seperti itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1000,"Dia mengatakan kalau aku tidak bisa melakukannya, aku benci dengan kata-katanya, tapi aku merasa lega karena aku bisa menemukan cara lain",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1001,"Aku tak percaya dia bisa membantu, aku benci dengan sikapnya yang sombong, tapi aku merasa berterima kasih karena dia melimpahkan ilmunya pada aku",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1002,"Aku bingung dengan jawabannya, aku jijik dengan perilakunya, tapi aku rasa syukur karena aku bisa menemukan jawaban yang tepat",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1003,"Dia mengatakan aku harus meninggalkannya, aku benci dengan kata-katanya, tapi aku merasa lega karena aku bisa melindungi diri aku sendiri",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1004,"Dia mengatakan hal yang sangat mengejutkan, aku tak percaya dengan kejutan itu, tapi aku merasa syukur karena aku bisa mengatasi situasi yang sulit itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1005,"Aku tidak percaya bahwa aku bisa menemukan kunci jawaban, aku benci dengan rasa was-wasnya, tapi aku berterima kasih karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1006,"Aku jijik dengan perilakunya, tapi aku merasa syukur karena aku bisa menemukan kekuatan dalam diri sendiri",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1007,"Lalu dia mengatakan hal yang sangat tidak terduga, aku bingung dengan jawabannya, tapi aku merasa lega karena aku bisa menemukan kebenaran",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1008,"Dia mengatakan kalau aku tidak bisa melakukannya, aku benci dengan kata-katanya, tapi aku merasa berterima kasih karena aku bisa menemukan cara lain untuk mencapai tujuan itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1009,"Aku tak percaya bahwa aku bisa menemukan jalan keluar, aku benci dengan rasa was-wasnya, tapi aku merasa syukur karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1010,"Dia mengatakan hal yang sangat mengejutkan, aku bingung dengan jawabannya, tapi aku merasa lega karena aku bisa menemukan jawaban yang tepat",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1011,"Dia mengatakan bahwa aku tidak bisa melakukannya, aku jijik dengan perilakunya, tapi aku berterima kasih karena aku bisa menemukan kekuatan dalam diri sendiri",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1012,"Aku tidak percaya bahwa aku bisa menemukan kunci jawaban, aku benci dengan kata-katanya, tapi aku merasa syukur karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1013,"Aku jijik dengan perilakunya, tapi aku merasa syukur karena aku bisa menemukan kebenaran",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1014,"Dia mengatakan hal yang sangat tidak terduga, aku bingung dengan jawabannya, tapi aku merasa lega karena aku bisa mengatasi situasi yang sulit itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1015,"Aku tidak percaya bahwa aku bisa menemukan jalan keluar, aku jijik dengan perilakunya, tapi aku merasa syukur karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1016,"Aku tak percaya bahwa aku bisa menemukan jawaban yang tepat, aku benci dengan rasa was-wasnya, tapi aku merasa berterima kasih karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1017,"Aku mengatakan hal yang sangat tidak terduga, aku benci dengan rasa was-wasnya, tapi aku merasa syukur karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1018,"Aku tidak percaya bahwa aku bisa menemukan jawaban yang tepat, aku jijik dengan perilakunya, tapi aku merasa syukur karena aku bisa mengatasi situasi yang sulit itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1019,"Aku mengatakan hal yang sangat berani, aku tak percaya dengan kejutan itu, tapi aku merasa berterima kasih karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1020,"Dia mengatakan bahwa aku tidak bisa melakukannya, aku benci dengan kata-katanya, tapi aku rasa syukur karena aku bisa menemukan kekuatan dalam diri sendiri",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1021,"Aku tak percaya bahwa aku bisa menemukan kunci jawaban, aku jijik dengan perilakunya, tapi aku merasa syukur karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1022,"Dia mengatakan hal yang sangat mengejutkan, aku jijik dengan perilakunya, tapi aku merasa syukur karena aku bisa mengatasi situasi yang sulit itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1023,"Aku mengatakan hal yang sangat tidak terduga, aku benci dengan kata-katanya, tapi aku merasa berterima kasih karena aku bisa melindungi diri aku sendiri",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1024,"Aku tak percaya bahwa aku bisa menemukan jawaban yang tepat, aku jijik dengan perilakunya, tapi aku rasa syukur karena aku bisa menemukan kekuatan dalam diri sendiri",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1025,"Aku mengatakan hal yang sangat tidak terduga, aku bingung dengan jawabannya, tapi aku merasa berterima kasih karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1026,"Aku mengatakan hal yang sangat berani, aku benci dengan rasa was-wasnya, tapi aku merasa syukur karena aku bisa mengatasi situasi yang sulit itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1027,"Aku mengatakan hal yang sangat tidak terduga, aku tidak percaya dengan kejutan itu, tapi aku merasa lega karena aku bisa menemukan kebenaran",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1028,"Aku mengatakan hal yang sangat tidak terduga, aku tidak percaya dengan kejutan itu, tapi aku merasa syukur karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1029,"Aku mengatakan hal yang sangat berani, aku benci dengan kata-katanya, tapi aku merasa berterima kasih karena aku bisa mengatasi semua itu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1030,"Aku merasa cemas banget gara-gara ujian nanti nanti, aku punya sakit kepala parah dan mual, aku butuh bantuan konseling sekarang juga.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1031,"Aku selalu merasa gugup sendiri gara-gara ulang tahun keluarga nanti, aku punya gejala fisik yang parah, mual dan gemetar, aku membutuhkan bantuan psikologis sekarang juga.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1032,"Aku sangat kelelahan banget akhir-akhir ini karena harus mengerjakan tugas berlebihan, aku punya sakit kepala parah dan pusing, aku butuh bantuan profesionalsih untuk mengatasi stres ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1033,"Cemasnya aku saat menghadapi presentasi depan kelas tuh benar-benar membuatku merasa panik dan mual, aku membutuhkan bantuan konseling untuk mengatasi kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1034,"Aku sering merasa khawatir banget saat melihat nilai tes, aku punya sakit kepala dan pusing, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1035,"Aku terus-menerus ditekan oleh orang tua untuk dapat nilai bagus, aku merasa cemas banget dan selalu sakit kepala, aku membutuhkan bantuan konseling untuk mengatasi tekanan.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1036,"Rasa takutnya aku saat mau naik ke atas pesawat benar-benar membuatku merasa gugup dan mual, aku membutuhkan bantuan profesional untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1037,"Aku selalu merasa kelelahan karena harus mengerjakan tugas sampai larut malam, aku punya sakit kepala parah dan gemetar, aku mencari dukungan psikologis untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1038,"Cemasnya aku saat menghadapi ujian skripsi tuh membuatku merasa panik dan pusing, aku membutuhkan bantuan konseling untuk mengatasi kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1039,"Aku terus-menerus merasa khawatir banget saat melihat kondisi politik negara, aku punya sakit kepala dan gemetar, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1040,"Aku benar-benar cemas banget saat melihat nilai tes, aku punya pusing dan mual, aku membutuhkan bantuan konseling untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1041,"Cemasnya aku saat mau menghadapi teman-teman senior di kampus, aku punya sakit kepala parah dan mual, aku butuh bantuan konseling untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1042,"Aku terus-menerus merasa kelelahan karena harus bangun pagi-pagi sekali, aku punya sakit kepala parah dan gemetar, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1043,"Aku benar-benar gugup sendiri gara-gara presentasi depan kelas, aku punya pusing dan gemetar, aku membutuhkan bantuan profesional untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1044,"Rasa takutnya aku saat mau menghadapi teman-teman senior di kampus tuh benar-benar membuatku merasa cemas dan pusing, aku membutuhkan bantuan psikologis untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1045,"Aku benar-benar cemas banget saat melihat nilai tes, aku punya gemetar dan pusing, aku membutuhkan bantuan profesional untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1046,"Rasa takutnya aku saat mau naik ke atas pesawat tuh membuatku merasa gugup dan pusing, aku butuh bantuan konseling untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1047,"Cemasnya aku saat mau menghadapi teman-teman senior di kampus, aku punya gemetar dan sakit kepala parah, aku membutuhkan bantuan profesional untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1048,"Aku benar-benar gugup sendiri gara-gara ulang tahun keluarga nanti, aku punya pusing dan mual, aku mencari dukungan psikologis untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1049,"Aku selalu merasa khawatir banget saat melihat nilai tes, aku punya sakit kepala parah dan gemetar, aku membutuhkan bantuan profesi untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1050,"Aku benar-benar cemas banget gara-gara ujian nanti nanti, aku punya pusing dan sakit kepala parah, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1051,"Rasa takutnya aku saat mau menghadapi presentasi depan kelas tuh benar-benar membuatku merasa cemas dan gemetar, aku butuh bantuan psikologis untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1052,"Cemasnya aku saat melihat kondisi politik negara tuh benar-benar membuatku merasa gugup dan sakit kepala parah, aku membutuhkan bantuan psikologis untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1053,"Aku benar-benar cemas banget saat menghadapi teman-teman senior di kampus, aku punya mual dan pusing, aku membutuhkan bantuan konseling untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1054,"Rasa takutnya aku saat mau menghadapi ujian skripsi tuh membuatku merasa cemas dan gemetar, aku mencari dukungan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
