,,,"Aku merasa nggak pantas buat bahagia, setiap ada hal baik datang, aku malah merasa takut itu bakal diambil lagi.",,,,,,,
,,,"Malam-malam adalah yang paling berat buat aku, karena di situ rasa sepi dan sedihnya datang barengan.",,,,,,,
,,,"Aku merasa sudah kehilangan arah hidup, nggak tahu lagi apa tujuan aku ada di dunia ini.",,,,,,,
,,,"Kayaknya aku emang ditakdirkan buat sendirian terus ya kak, nggak ada yang benar-benar mau bertahan sama aku.",,,,,,,
,,,"Hati aku rasanya mati rasa, aku pengen nangis tapi air mataku udah habis buat semua masalah ini.",,,,,,,
,,,"Aku merasa bersalah banget atas kepergiannya, seandainya dulu aku lebih perhatian mungkin nggak bakal kayak gini.",,,,,,,
,,,Kenapa ya aku selalu merasa kurang dan nggak pernah cukup baik di mata orang lain?,,,,,,,
,,,"Duniaku runtuh sejak putus hubungan itu, aku merasa nggak punya alasan lagi buat berjuang di kampus.",,,,,,,
,,,"Aku merasa sangat lelah secara emosional, rasanya energi aku habis cuma buat nahan sedih tiap hari.",,,,,,,
,,,"Terkadang aku merasa Tuhan itu jauh banget, kayak Dia nggak dengar pas aku teriak minta tolong dalam duka ini.",,,,,,,
,,,"Aku merasa terasing di circle ku sendiri, mereka semua kelihatan bahagia sementara aku merasa sendirian.",,,,,,,
,,,"Ada rasa hampa yang nggak bisa dijelasin kata-kata, kayak ada bagian dari jiwaku yang hilang entah ke mana.",,,,,,,
,,,"Aku sering merasa minder kalau ketemu teman-teman yang sukses, aku merasa paling gagal dan tertinggal jauh.",,,,,,,
,,,Rasanya sakit banget pas ingat semua kata-kata kasar yang mereka ucapkan ke aku dulu di sekolah.,,,,,,,
,,,Aku nggak tahu gimana cara maafin diri sendiri atas semua kesalahan masa lalu yang bikin aku hancur kayak sekarang.,,,,,,,
,,,"Kesedihan ini menyiksa banget, aku pengen pergi rasanya tapi nggak tahu harus ke mana.",,,,,,,
,,,Aku merasa nggak punya teman cerita yang bener-bener paham gimana sakitnya ditinggal orang yang paling disayang.,,,,,,,
,,,Kayaknya hidupku ini cuma rangkaian kegagalan demi kegagalan yang nggak ada ujungnya.,,,,,,,
,,,"Aku merasa sendirian di dunia ini, meskipun banyak orang di sekitarku tapi nggak ada yang benar-benar mengerti.",,,,,,,
,,,"Rasanya nggak ada gunanya lagi aku berusaha, ujung-ujungnya aku pasti bakal dikecewain lagi dan merasa sedih lagi.",,,,,,,
,,,Aku merasa tidak berharga karena selalu dibanding-bandingkan dengan orang lain yang lebih hebat dari aku.,,,,,,,
,,,"Duka ini terlalu berat buat aku tanggung sendirian, aku merasa mau pingsan setiap kali ingat kehilangan itu.",,,,,,,
,,,"Aku merasa seperti sampah yang nggak diinginkan siapa pun, rasanya sedih banget harus hidup dengan perasaan ini.",,,,,,,
,,,"Aku bingung, kenapa hidupku penuh dengan air mata dan kesunyian yang nggak pernah berakhir?",,,,,,,
,,,"Aku udah coba buat bangkit, tapi rasa ini terus-terusan narik aku buat balik ke lubang yang sama.",,,,,,,
,,,"Sejujurnya, aku udah kehilangan harapan kalau keadaan bakal membaik, aku merasa kekosongan ini bakal bertahan selamanya.",,,,,,,
,,,"Rasanya kayak aku ini cuma bayangan yang nggak pernah dilihat orang, meskipun aku teriak di depan mereka.",,,,,,,
,,,"Setiap kali aku duduk di kursi gereja, aku cuma bisa nunduk karena merasa ngga layak untuk ada di sana.",,,,,,,
,,,"Aku rindu banget sama suaranya, rumah ini jadi sepi banget sejak dia nggak ada, rasanya nyiksa.",,,,,,,
